Derivation file for run '../SpanishCFR/SpanishRun'; etymon number :1284:
#ˌokkaːsiˈoːn̪em# >>> #ˌuʃ̪e̯iθjˈun̪e# ( GOLD : #okasjˈon̪#) :
ˌo k k aː s i ˈoː n̪ e m 
#ˌokkaːsiˈoːn̪e# | 26 : [+nas] > ∅ / __ #
#ˌɔkkaːsiˈoːn̪e# | 43 : [+syl,-long,+stres,-hi,-lo] > [-tense,-cons,-lat,+cont,0delrel] 
#ˌɔkkaːseˈoːn̪e# | 44 : [+syl,-long] > [-hi] 
#ˌɔkkaseˈon̪e# | 45 : [+syl,+long] > [-long,-splng] 
#ˌɔkaseˈon̪e# | 47 : [+cons,αcont,βcor,ɣant,ðdistr,ɛlab,θback,χfront,ɷhi] > ∅ / __ [+cons,αcont,βcor,ɣant,ðdistr,ɛlab,θback,χfront,ɷhi]
#ˌɔkasejˈon̪e# | 51 : ∅ > j / [+syl,-back] __ [+syl,+back]
#ˌɔkasijˈon̪e# | 55 : e > i / __ j
#ˌɔkjasijˈon̪e# | 68 : ∅ > j / [+cons,-cont,+back] __ [+syl,-back]
#ˌɔt͡ʃjasijˈon̪e# | 69 : {t̪;d̪;t̪ʰ;k;ɡ;kʰ} > {t͡ʃ;d͡ʒ;t͡ʃ;t͡ʃ;d͡ʒ;t͡ʃ} / __ j
#ˌɔt͡ʃjasiˈon̪e# | 73 : [-syl,-cons,+hi,+front] > ∅ / [+hi,+front] __ 
#ˌɔt͡ʃe̯jasiˈon̪e# | 83 : ∅ > e̯ / [+syl] [-voi] __ [-syl,+front,-cons]
#ˌɔt͡ʃe̯jaziˈon̪e# | 96 : [+cont] > [+voi] / [-cons] __ [+son]
#ˌɔt͡ʃ̪e̯jaziˈon̪e# | 99 : [+strid,-cont] > [-hi,+ant] 
#ˌɔt͡ʃ̪e̯jazjˈon̪e# | 100 : [+front,+syl,-stres,+hi] > [-syl,0stres,0prim] / __ [+syl]
#ˌɔt͡ʃ̪e̯jazjˈun̪e# | 106 : [+syl,+back] > [+hi] / [+front,+hi,-cons,-syl,-back] __ 
#ˌɔt͡ʃ̪e̯jezjˈun̪e# | 108 : [+syl] > [-lo] / j __ [-son]
#ˌot͡ʃ̪e̯jezjˈun̪e# | 109 : [+syl,-tense] > [+tense,-cons,-lat,+cont,0delrel] / __ ( @ ) ( @ ) [+hi,+front]
#ˌut͡ʃ̪e̯jizjˈun̪e# | 159 : [+syl,-lo] > [+hi] / __ [+cons] ( [+cons] ) [-cons,-syl]
#ˌut͡ʃ̪e̯izjˈun̪e# | 172 : [-syl,-cons,+hi,+front] > ∅ / __ [+hi,+front]
#ˌuʃ̪e̯izjˈun̪e# | 177 : [+strid,+ant] > [+cont,0delrel] 
#ˌuʃ̪e̯isjˈun̪e# | 178 : [+strid] > [-voi] 
#ˌuʃ̪e̯iθjˈun̪e# | 181 : s > θ / __ [-cons]
Final form : #ˌuʃ̪e̯iθjˈun̪e#
